Timestamp,Class,Archetype,Rank,Link,Class1,Archetype1,First1,Result1,Class2,Archetype2,First2,Result2,Class3,Archetype3,First3,Result3,Class4,Archetype4,First4,Result4,Class5,Archetype5,First5,Result5,Wins,First
8/9/2018 1:36:34,Forestcraft,Aggro,Master,https://sv.bagoum.com/deckbuilder#MCwzOjEwMDAxMTAxMCwzOjEwMDExMTAxMCwzOjEwNjExNDAxMCwzOjEwMDExMTAyMCwzOjEwNzExMTAzMCwzOjEwNzEzMTAxMCwyOjEwNzE0MTAyMCwzOjEwODEzMTAzMCwzOjEwNjEyNDAxMCwzOjEwNTEyMzAxMCwzOjEwNjExMTAyMCwzOjEwNTEzMTAyMCwzOjEwOTEzMTAyMCwyOjEwODE0MTAzMA==,Runecraft,Spellboost,1.0,1,Portalcraft,Puppet,1.0,1,Runecraft,,2.0,1,Portalcraft,Puppet,1.0,1,Forestcraft,Control,2.0,1,5,0
8/9/2018 1:44:48,Swordcraft,Midrange,Master,,Dragoncraft,Ramp,1.0,1,Havencraft,Summit,1.0,1,Runecraft,Dirt,1.0,1,Shadowcraft,Arcus,1.0,0,Portalcraft,Puppet,2.0,0,3,0
8/9/2018 3:15:29,Runecraft,Abyss,C,https://shadowverse-portal.com/deck/1.3.6PQ9g.6PQ9g.6PQ9g.6HkyA.6HkyA.6HkyA.6LZ5A.6LZ5A.6LZ5A.6TB7Y.6TB7Y.6TB7Y.5-gka.5-gka.5-gka.6W__Q.6W__Q.6W__Q.6PPgQ.6PPgQ.6KS2S.6KS2S.6LbI6.6Lc0g.6Lc0g.6Lc0g.6X49C.6X49C.6W_Gi.6W__a.6W__a.6W__a.6HpbC.6HpbC.6HpbC.6X1io.6X1io.6X1io.5-iRo.5-iRo?lang=en,Portalcraft,Puppet,2.0,0,Dragoncraft,Pdk,1.0,1,Runecraft,Spellboost,1.0,1,Portalcraft,Puppet,1.0,1,Forestcraft,Neutral,2.0,0,3,0
8/9/2018 3:15:59,Forestcraft,Aggro,B,,Forestcraft,Midrange,1.0,0,Runecraft,Spellboost,2.0,1,Shadowcraft,Midrange,2.0,1,Havencraft,Summit+Tenko,2.0,0,Portalcraft,Artifact,1.0,1,3,0
8/9/2018 3:49:32,Runecraft,,Master,,Dragoncraft,,1.0,1,Portalcraft,Puppet,2.0,1,Swordcraft,Midrange,2.0,1,Forestcraft,,2.0,1,Swordcraft,,2.0,1,5,0
8/9/2018 4:33:39,Forestcraft,Aggro,A,,Forestcraft,Aggro,1.0,1,Dragoncraft,Ramp,1.0,1,Portalcraft,Puppet,2.0,0,Dragoncraft,Ramp,1.0,1,Swordcraft,Midrange,1.0,0,3,0
8/9/2018 4:51:24,Havencraft,Summit,Master,https://shadowverse-portal.com/deck/3.7.6N9tI.6N9tI.6N9tI.6Qzmg.6Qzmg.6Qzmg.6JNhI.6JNhI.6JNhI.6Ung2.6Ybp2.6Ybp2.60COa.60COa.60COa.6Qv7o.6Qv7o.6Qv7o.6UjGo.6UjGo.6UjGo.6Q_zI.6Q_zI.6Q_zI.6Uo9I.6Uo9I.6Uo9I.6Uq6S.6Uq6S.6Uq6S.6JJI2.6JJI2.6JJI2.6YeFI.6YeFI.6YeFI.6Q_zS.6Q_zS.6Q_zS.6YeFS?lang=en,Runecraft,Abyss,2.0,1,Forestcraft,Neutral,1.0,1,Runecraft,,1.0,1,Shadowcraft,Arcus,1.0,1,Dragoncraft,Ramp,2.0,1,5,0
8/9/2018 5:18:42,Swordcraft,Midrange,Master,,Runecraft,Spellboost,2.0,1,Runecraft,Abyss,1.0,1,Shadowcraft,Reanimate,2.0,1,Swordcraft,Midrange,2.0,0,Havencraft,Summit,1.0,1,4,0
8/9/2018 6:13:52,Forestcraft,Aggro,Master,,Shadowcraft,Hinterland,,0,Swordcraft,,,0,Portalcraft,Puppet,2.0,1,Runecraft,,1.0,1,Portalcraft,Hybrid,1.0,0,2,0
8/9/2018 8:11:14,Forestcraft,Aggro,B,,Portalcraft,Artifact,1.0,1,Runecraft,Spellboost,2.0,1,Portalcraft,Puppet,1.0,1,Swordcraft,Midrange,1.0,1,Runecraft,Spellboost,1.0,1,5,0
8/9/2018 8:12:41,Runecraft,Mysteria,A,,Bloodcraft,Aggro,1.0,1,Havencraft,Tenko,1.0,1,Swordcraft,Midrange,2.0,1,Forestcraft,Aggro,2.0,0,Dragoncraft,Jabberwock,2.0,1,4,0
8/9/2018 8:41:31,Havencraft,Lion,A,,Shadowcraft,Arcus,,0,Swordcraft,Midrange,,1,Forestcraft,Midrange,,0,Portalcraft,Puppet,,0,Runecraft,Abyss,,1,2,0
8/9/2018 9:06:18,Portalcraft,Artifact,A,,Shadowcraft,Arcus,2.0,0,Runecraft,Spellboost,1.0,0,Havencraft,Tenko,2.0,1,Dragoncraft,Lindworm,2.0,1,Swordcraft,Midrange,2.0,1,3,0
8/9/2018 9:16:46,Runecraft,Spellboost,Master,http://sv.bagoum.com/db/D9t,Portalcraft,Puppet,1.0,1,Portalcraft,Puppet,1.0,1,Havencraft,Summit+Tenko,2.0,1,Runecraft,Spellboost,2.0,1,Portalcraft,Puppet,2.0,1,5,0
8/9/2018 9:17:57,Portalcraft,Artifact,Master,,Dragoncraft,,1.0,1,Portalcraft,Puppet,2.0,1,Shadowcraft,Arcus,1.0,1,Havencraft,Lion,1.0,1,Forestcraft,Aggro,2.0,0,4,0
8/9/2018 9:19:03,Forestcraft,Midrange,Master,,Swordcraft,Midrange,2.0,1,Forestcraft,Aggro,1.0,1,Portalcraft,Puppet,1.0,0,Shadowcraft,Midrange,1.0,1,Runecraft,Spellboost,1.0,1,4,0
8/9/2018 9:36:05,Dragoncraft,Pdk,Master,,Forestcraft,Neutral,1.0,1,Runecraft,Spellboost,1.0,1,Havencraft,Tenko,2.0,1,Swordcraft,Midrange,2.0,1,Runecraft,Spellboost,2.0,1,5,0
8/9/2018 9:53:22,Havencraft,Summit+Tenko,Grand Master,https://shadowverse-portal.com/deck/3.7.6N9tI.6N9tI.6N9tI.6Qzmg.6JNhI.6JNhI.6JNhI.6Ung2.6Ung2.6Ung2.6Ybp2.6Ybp2.60COa.60COa.60COa.6UjGo.6UjGo.6UjGo.6Q_zI.6Q_zI.6Ya5g.6Uo9I.6Uo9I.6Uo9I.6Uq6S.6Uq6S.6Uq6S.6Unvg.6Unvg.6Unvg.6YeFI.6YeFI.6YeFI.6Q_zS.6Q_zS.6Q_zS.6Uq6I.6YcXw.6YcXw.6YcXw?lang=en#_=_,Swordcraft,Midrange,2.0,1,Portalcraft,Puppet,2.0,1,Forestcraft,Neutral,2.0,1,Bloodcraft,Jormungand,2.0,1,Runecraft,Spellboost,2.0,0,4,0
8/9/2018 10:15:00,Runecraft,Spellboost,AA,,Swordcraft,Aggro,1.0,0,Runecraft,Spellboost,2.0,0,Forestcraft,Midrange,2.0,0,Swordcraft,Aggro,2.0,0,Swordcraft,Aggro,2.0,0,0,0
8/9/2018 11:16:07,Havencraft,Tenko,Master,,Dragoncraft,Lindworm,,0,Bloodcraft,Vengeance,,1,Havencraft,Tenko,,1,Swordcraft,Midrange,,1,Dragoncraft,Lindworm,,1,4,0
8/9/2018 11:54:12,Runecraft,Abyss,AA,,Bloodcraft,Aggro,1.0,1,Shadowcraft,Arcus,2.0,1,Havencraft,Lion,2.0,0,Portalcraft,Puppet,2.0,1,Shadowcraft,Arcus,1.0,0,3,0
8/9/2018 11:58:32,Portalcraft,Puppet,B,,Bloodcraft,Aggro,2.0,0,Swordcraft,Aggro,1.0,1,Bloodcraft,Vengeance,1.0,1,Bloodcraft,Control,2.0,0,Dragoncraft,Lindworm,2.0,1,3,0
8/9/2018 11:59:21,Portalcraft,,AA,,Bloodcraft,Aggro,1.0,1,Forestcraft,Midrange,2.0,0,Bloodcraft,Aggro,1.0,0,Havencraft,Lion,1.0,1,Dragoncraft,Ramp,2.0,1,3,0
8/9/2018 12:18:41,Portalcraft,Puppet,Master,https://shadowverse-portal.com/deck/3.8.5zWm2.5zWm2.5zWm2.6RH4I.6RH4I.6RH4I.6RJVS.6RJVS.6RJVS.6Y-DY.6Y-DY.6Y-DY.6Z0fy.6Z0fy.6Z0fy.6KS2S.60a4M.60a4M.60a4M.6RKEA.6RKEA.6RKEA.6YxnS.6YxnS.6YxnS.6RONy.6RONy.6RONy.6YxnI.6YxnI.6YxnI.6Z0fo.6Z0fo.6Z0fo.6VCWo.6VCWo.6VCWo.6RJW4.6RJW4.6RJW4?lang=en,Dragoncraft,Ramp,1.0,1,Portalcraft,Artifact,1.0,1,Portalcraft,Puppet,1.0,1,Bloodcraft,Aggro,1.0,1,Runecraft,Spellboost,1.0,1,5,0
8/9/2018 12:18:54,Forestcraft,Midrange,A,,Portalcraft,Puppet,2.0,0,Havencraft,Lion,1.0,1,Runecraft,Abyss,1.0,0,Forestcraft,Midrange,1.0,1,Runecraft,Abyss,1.0,1,3,0
8/9/2018 12:26:58,Portalcraft,Puppet,Master,,Shadowcraft,Arcus,2.0,1,Portalcraft,Puppet,2.0,0,Runecraft,Spellboost,2.0,1,Dragoncraft,Jabberwock,1.0,1,Forestcraft,Aggro,2.0,1,4,0
