Timestamp,Class,Archetype,Rank,Class1,Archetype1,First1,Result1,Class2,Archetype2,First2,Result2,Class3,Archetype3,First3,Result3,Class4,Archetype4,First4,Result4,Class5,Archetype5,First5,Result5,Wins,First
7/23/2018 14:01:23,Shadowcraft,Midrange,AA,Runecraft,Daria,1,1,Forestcraft,Roach,1,1,Swordcraft,Spartacus,2,1,Runecraft,Dshift,1,0,Shadowcraft,Midrange,1,1,4,4
7/23/2018 14:16:39,Shadowcraft,Midrange,Master,Runecraft,Dshift,1,1,Swordcraft,Midrange,1,1,Bloodcraft,Vengeance,2,1,Dragoncraft,Discard,2,0,Shadowcraft,Midrange,1,1,4,3
7/23/2018 14:36:11,Dragoncraft,Aggro,Master,Swordcraft,Midrange,1,1,Dragoncraft,Ramp,1,0,Havencraft,Summit,1,1,Bloodcraft,Vengeance,1,0,Dragoncraft,Lindworm,1,0,2,5
7/23/2018 14:36:48,Swordcraft,Ironwrought,Grand Master,Runecraft,Daria,1,1,Shadowcraft,Midrange,2,1,Swordcraft,Spartacus,2,1,Forestcraft,Neutral,1,1,Shadowcraft,Midrange,2,1,5,2
7/23/2018 14:44:02,Dragoncraft,Aggro,Master,Portalcraft,Puppet,2,1,Havencraft,Control,2,1,Runecraft,Dirt,1,1,Bloodcraft,Vengeance,2,1,Runecraft,,1,1,5,2
7/23/2018 15:03:13,Havencraft,Storm,A,Runecraft,Dshift,2,1,Runecraft,Dshift,2,1,Shadowcraft,Midrange,2,1,Forestcraft,Control,1,1,Runecraft,Dshift,1,1,5,2
7/23/2018 15:26:10,Bloodcraft,Vengeance,Master,Bloodcraft,Aggro,,1,Swordcraft,Aggro,1,0,Bloodcraft,Vengeance,,0,Dragoncraft,Ramp,,1,Bloodcraft,Vengeance,2,1,3,1
7/23/2018 15:37:15,Havencraft,Storm,AA,Bloodcraft,Vengeance,1,1,Portalcraft,"BANANA",2,1,Havencraft,Storm,1,1,Dragoncraft,Aggro,1,1,Shadowcraft,Midrange,2,1,5,3
7/23/2018 16:13:35,Shadowcraft,Atomy,Master,Shadowcraft,Midrange,2,1,Dragoncraft,Roost,2,1,Bloodcraft,Vengeance,2,1,Runecraft,Dshift,1,1,Bloodcraft,Aggro,1,1,5,2
7/23/2018 16:40:14,Shadowcraft,Midrange,B,Runecraft,Daria,1,0,Runecraft,Neutral,1,1,Shadowcraft,Midrange,2,1,Portalcraft,Artifact,1,1,Havencraft,Storm,1,1,4,4
7/23/2018 17:02:55,Dragoncraft,Aggro,Master,Bloodcraft,Vengeance,2,1,Swordcraft,Aggro,2,1,Dragoncraft,PTP,2,1,Shadowcraft,Midrange,1,1,Shadowcraft,Midrange,1,0,4,2
7/23/2018 17:21:45,Bloodcraft,Neutral,B,Forestcraft,Neutral,1,1,Dragoncraft,Lindworm,1,1,Forestcraft,Aggro,2,0,Shadowcraft,Midrange,2,0,Bloodcraft,,,0,2,2
7/23/2018 18:54:30,Swordcraft,Aggro,Master,Runecraft,Daria,1,1,Runecraft,Dshift,1,1,Swordcraft,Midrange,2,0,Shadowcraft,Atomy,2,0,Shadowcraft,Midrange,2,1,3,2
7/23/2018 18:56:08,Shadowcraft,Midrange,A,Shadowcraft,Midrange,2,0,Havencraft,Control,2,1,Bloodcraft,Vengeance,1,1,Runecraft,Dshift,1,0,Runecraft,Dirt,2,0,2,2
7/23/2018 18:58:24,Shadowcraft,Midrange,A,Runecraft,Daria,1,0,Bloodcraft,,1,1,Shadowcraft,Midrange,2,0,Swordcraft,Midrange,2,0,Bloodcraft,Vengeance,1,0,1,3
7/23/2018 19:03:28,Dragoncraft,Roost,Grand Master,Runecraft,Dshift,1,1,Runecraft,Dshift,1,1,Bloodcraft,Aggro,1,1,Runecraft,Dshift,2,0,Shadowcraft,Midrange,2,1,4,3
7/23/2018 19:34:34,Shadowcraft,Midrange,Master,Forestcraft,Roach,2,0,Shadowcraft,Midrange,1,1,Shadowcraft,Midrange,2,1,Dragoncraft,Aggro,2,1,Runecraft,Dirt,2,1,4,1
7/23/2018 19:35:49,Shadowcraft,Midrange,Master,Bloodcraft,Vengeance,2,1,Bloodcraft,Vengeance,1,1,Forestcraft,Roach,2,1,Forestcraft,Roach,2,0,Forestcraft,Roach,2,0,3,1
7/23/2018 20:38:01,Bloodcraft,Darkfeast,Master,Dragoncraft,Aggro,2,1,Shadowcraft,Reanimate,1,1,Bloodcraft,Vengeance,2,1,Runecraft,Mysteria,2,1,Shadowcraft,Midrange,2,1,5,1
7/23/2018 23:57:10,Shadowcraft,Midrange,Master,Swordcraft,Midrange,1,1,Runecraft,Daria,1,0,Swordcraft,Aggro,1,1,Shadowcraft,Midrange,2,1,Bloodcraft,Vengeance,1,1,4,4
7/24/2018 2:18:57,Bloodcraft,Vengeance,Master,Havencraft,Tenko,2,1,Shadowcraft,Nephthys,2,0,Shadowcraft,Midrange,2,1,Shadowcraft,Reanimate,1,1,Swordcraft,Midrange,1,1,4,2
7/24/2018 4:03:51,Bloodcraft,Aggro,AA,Runecraft,Dshift,1,1,Dragoncraft,Jabberwock,1,1,Shadowcraft,Midrange,2,1,Shadowcraft,Aggro,1,1,Runecraft,Daria,2,1,5,3
7/24/2018 4:34:52,Shadowcraft,Midrange,A,Shadowcraft,Atomy,,0,Havencraft,Tenko,,1,Swordcraft,Midrange,,0,Bloodcraft,Vengeance,,0,Bloodcraft,Vengeance,,0,1,0
7/24/2018 4:37:16,Shadowcraft,Midrange,A,Runecraft,Dirt,1,1,Forestcraft,Roach,2,1,Swordcraft,Midrange,1,1,Runecraft,Dshift,1,1,Bloodcraft,Vengeance,2,1,5,3
7/24/2018 9:06:11,Bloodcraft,Vengeance,A,Forestcraft,Aggro,2,1,Havencraft,Elana,1,0,Shadowcraft,Midrange,1,1,Bloodcraft,Aggro,2,0,Swordcraft,Midrange,1,1,3,3
7/24/2018 9:40:01,Shadowcraft,Midrange,Master,Runecraft,Dirt,2,1,Shadowcraft,Midrange,2,1,Bloodcraft,Aggro,2,1,Runecraft,Dshift,1,0,Runecraft,Dshift,1,1,4,2
7/24/2018 11:05:16,Dragoncraft,Ramp,Master,Forestcraft,Roach,2,1,Dragoncraft,Aggro,2,1,Forestcraft,Roach,1,1,Runecraft,Spellboost,1,1,Shadowcraft,Midrange,2,1,5,2
7/24/2018 14:20:35,Bloodcraft,Vengeance,Master,Runecraft,Daria,2,1,Runecraft,Daria,2,1,Forestcraft,Neutral,2,1,Dragoncraft,Roost,1,0,Runecraft,Dshift,1,1,4,2
