Timestamp,Class,Archetype,Rank,Class1,Archetype1,Result1,Class2,Archetype2,Result2,Class3,Archetype3,Result3,Class4,Archetype4,Result4,Class5,Archetype5,Result5,Wins
7/6/18 8:07,Havencraft,Lion Crystal,AA,Havencraft,Tenko,1,Havencraft,Lion Crystal,1,Runecraft,Spellboost,0,Swordcraft,Midrange,1,Havencraft,Lion Crystal,1,4
7/6/18 8:14,Shadowcraft,Arcus,AA,Shadowcraft,Arcus,0,Havencraft,Lion Crystal,1,Havencraft,Lion Crystal,1,Havencraft,Lion Crystal,0,Havencraft,Lion Crystal,0,2
7/6/18 8:15,Havencraft,Lion Crystal,Master,Havencraft,Lion Crystal,1,Runecraft,Spellboost,1,Havencraft,Lion Crystal,0,Portalcraft,Puppet,0,Havencraft,Lion Crystal,1,3
7/6/18 8:15,Dragoncraft,Jabberwock,Master,Portalcraft,Puppet,1,Havencraft,Tenko,0,Havencraft,Lion Crystal,1,Portalcraft,Puppet,1,Havencraft,Tenko,1,4
7/6/18 8:24,Swordcraft,Midrange,Master,Swordcraft,Midrange,1,Havencraft,Tenko,1,Portalcraft,Puppet,1,Shadowcraft,Arcus,0,Dragoncraft,Ramp,1,4
7/6/18 8:26,Swordcraft,Midrange,Master,Shadowcraft,Arcus,1,Havencraft,Tenko,1,Runecraft,Spellboost,1,Swordcraft,Midrange,1,Forestcraft,Midrange,1,5
7/6/18 8:40,Swordcraft,Midrange,Master,Dragoncraft,PDK,1,Shadowcraft,Midrange,1,Havencraft,Tenko,0,Runecraft,Spellboost,1,Dragoncraft,Lindworm,1,4
7/6/18 8:41,Portalcraft,Puppet,Master,Havencraft,Tenko,1,Swordcraft,Midrange,0,Forestcraft,Aggro,1,Havencraft,Lion Crystal,1,Shadowcraft,Reanimate,1,4
7/6/18 8:42,Forestcraft,Midrange,Grand Master,Havencraft,Lion Crystal,1,Shadowcraft,Reanimate,0,Havencraft,Tenko,1,Havencraft,Tenko,1,Havencraft,Tenko,1,4
7/6/18 8:45,Portalcraft,Puppet,Master,Swordcraft,Midrange,1,Havencraft,Tenko,0,Forestcraft,Aggro,1,Dragoncraft,Jabberwock,1,Swordcraft,Midrange,1,4
7/6/18 8:48,Portalcraft,Artifact,A,Havencraft,Tenko,0,Havencraft,Tenko,0,Havencraft,Tenko,0,Havencraft,Tenko,0,Havencraft,Tenko,0,0
7/6/18 8:50,Portalcraft,Puppet,C,Havencraft,Tenko,0,Bloodcraft,Jormungand,1,Swordcraft,,1,Portalcraft,Hybrid,1,Havencraft,Tenko,0,3
7/6/18 8:51,Portalcraft,Artifact,Master,Havencraft,,1,Runecraft,Spellboost,0,Swordcraft,Midrange,1,Portalcraft,Puppet,1,Havencraft,Tenko,1,4
7/6/18 9:01,Dragoncraft,Windmill,AA,Dragoncraft,Jabberwock,1,Havencraft,Tenko,0,Swordcraft,Aggro,1,Portalcraft,Artifact,0,Shadowcraft,Reanimate,0,2
7/6/18 9:02,Forestcraft,Midrange,Master,Forestcraft,Midrange,1,Forestcraft,Aggro,1,Swordcraft,Midrange,0,Swordcraft,Midrange,1,Havencraft,Lion Crystal,0,3
7/6/18 9:04,Portalcraft,Puppet,AA,Dragoncraft,Lindworm,1,Havencraft,Tenko,0,Havencraft,Tenko,0,Havencraft,Lion Crystal,1,Forestcraft,Midrange,0,2
