Timestamp,Class,Archetype,Rank,Link,Class1,Archetype1,First1,Result1,Class2,Archetype2,First2,Result2,Class3,Archetype3,First3,Result3,Class4,Archetype4,First4,Result4,Class5,Archetype5,First5,Result5,Wins,First
8/13/2018 14:04:16,Runecraft,Spellboost,AA,,Swordcraft,Aggro,2.0,1.0,Runecraft,Spellboost,2.0,1.0,Runecraft,Spellboost,1.0,1.0,Portalcraft,Puppet,2.0,0.0,Portalcraft,Puppet,1.0,1.0,4.0,0.0
8/13/2018 14:08:10,Portalcraft,Puppet,B,,Runecraft,Spellboost,2.0,1.0,Runecraft,Spellboost,1.0,1.0,Havencraft,Tenko,1.0,1.0,Swordcraft,Midrange,2.0,1.0,Dragoncraft,Ramp,2.0,1.0,5.0,0.0
8/13/2018 15:07:05,Dragoncraft,Pdk,AA,https://shadowverse-portal.com/deck/3.4.6PoaA.6PoaA.6I772.6I772.6I772.6LxG2.6LxG2.6LxG2.6PqHY.6PqHY.6PqHY.6TZYW.6TZYW.6TZYW.6Tgt6.6Tgt6.5_38w.5_38w.5_38w.6TcjA.6TcjA.6TcjA.6KS2S.6KS2S.6PlP2.6PlP2.6PlP2.6TeQY.6TeQY.6TeQY.6XQ7I.6XQ7I.6XQ7I.6Tf9Q.6Tf9Q.6Tf9Q.6M2ao.6M2ao.6M2ao.6Psjy?lang=en#,Runecraft,Spellboost,1.0,1.0,Swordcraft,Midrange,2.0,1.0,Runecraft,Burn,2.0,1.0,Swordcraft,Midrange,1.0,1.0,Swordcraft,Midrange,2.0,1.0,5.0,0.0
8/13/2018 16:15:42,Portalcraft,Puppet,AA,,Portalcraft,Puppet,2.0,1.0,Dragoncraft,Ramp,1.0,1.0,Havencraft,Lion,2.0,1.0,Bloodcraft,Snake,1.0,0.0,Shadowcraft,Midrange,1.0,1.0,4.0,0.0
8/13/2018 17:18:06,Portalcraft,Puppet,Master,,Havencraft,Tenko,2.0,1.0,Dragoncraft,Ramp,1.0,1.0,Runecraft,Spellboost,1.0,1.0,Swordcraft,Midrange,2.0,1.0,Portalcraft,Puppet,2.0,0.0,4.0,0.0
8/13/2018 17:26:52,Swordcraft,Midrange,C,http://sv.bagoum.com/db/DCg,Forestcraft,Midrange,2.0,1.0,Runecraft,Spellboost,1.0,1.0,Swordcraft,Midrange,1.0,1.0,Shadowcraft,Arcus,1.0,0.0,Swordcraft,Aggro,2.0,1.0,4.0,0.0
8/13/2018 17:58:35,Portalcraft,,AA,,Bloodcraft,,,1.0,Swordcraft,,,1.0,Runecraft,,,0.0,Forestcraft,,,1.0,Havencraft,,,0.0,3.0,0.0
8/13/2018 18:12:47,Swordcraft,Midrange,Master,,Forestcraft,Aggro,2.0,1.0,Portalcraft,Puppet,1.0,1.0,Runecraft,Spellboost,2.0,1.0,Havencraft,Lion,1.0,1.0,Runecraft,Mysteria,2.0,0.0,4.0,0.0
8/13/2018 19:07:19,Swordcraft,Midrange,Master,https://shadowverse-portal.com/deck/3.2.6SuKQ.6SuKQ.6SuKQ.6HOkc.6HOkc.6HOkc.6SojM.6SojM.6SojM.6Sw1o.6Sw1o.6Sw1o.fsmhI.fsmhI.fsmhI.6LHlo.6LHlo.6LHlo.6P3SY.6P3SY.6Sr9c.6Sr9c.6Sr9c.6WfII.6WfII.6WfII.6P10I.6P10I.6WhkY.6WhkY.6WiTQ.6WiTQ.6WiTQ.6WkAo.6WkAo.6P5uy.6P5uy.6P5uy.6Sw1y.6Sw1y?lang=en#,Swordcraft,Aggro,1.0,1.0,Portalcraft,Puppet,2.0,1.0,Runecraft,Spellboost,2.0,1.0,Runecraft,Abyss,1.0,1.0,Swordcraft,Midrange,2.0,1.0,5.0,0.0
8/13/2018 19:39:52,Forestcraft,Midrange,C,http://sv.bagoum.com/db/DCi,Forestcraft,Midrange,2.0,0.0,Runecraft,Spellboost,1.0,1.0,Forestcraft,Midrange,2.0,1.0,Havencraft,Lion,2.0,1.0,Dragoncraft,Jabberwock,2.0,1.0,4.0,0.0
8/13/2018 20:11:25,Havencraft,,B,,Runecraft,Spellboost,2.0,0.0,Shadowcraft,Reanimate,2.0,1.0,Swordcraft,Midrange,2.0,1.0,Portalcraft,Puppet,2.0,1.0,Runecraft,Spellboost,2.0,1.0,4.0,0.0
8/13/2018 20:12:29,Forestcraft,,Master,,Runecraft,Spellboost,2.0,0.0,Portalcraft,Puppet,2.0,0.0,Portalcraft,Puppet,2.0,0.0,Bloodcraft,Aggro,2.0,1.0,Portalcraft,Puppet,1.0,0.0,1.0,0.0
8/13/2018 20:26:27,Portalcraft,Puppet,D,,Runecraft,Abyss,1.0,0.0,Runecraft,Abyss,1.0,0.0,Portalcraft,Puppet,2.0,0.0,Swordcraft,Aggro,2.0,0.0,Dragoncraft,,1.0,1.0,1.0,0.0
8/13/2018 20:37:55,Runecraft,Abyss,AA,,Dragoncraft,Ramp,1.0,1.0,Havencraft,Lion,2.0,1.0,Runecraft,Spellboost,1.0,1.0,Dragoncraft,Ramp,2.0,1.0,Portalcraft,Puppet,1.0,1.0,5.0,0.0
8/13/2018 21:17:53,Forestcraft,,Grand Master,,Portalcraft,,2.0,1.0,Portalcraft,,2.0,1.0,Havencraft,,1.0,1.0,Forestcraft,,2.0,1.0,Bloodcraft,,2.0,1.0,5.0,0.0
