Timestamp,Class,Archetype,Rank,Link,Class1,Archetype1,First1,Result1,Class2,Archetype2,First2,Result2,Out of GP (Lost twice),Class3,Archetype3,First3,Result3,Out of GP (Lost twice).1,Class4,Archetype4,First4,Result4,Out of GP (Lost twice).2,Class5,Archetype5,First5,Result5,Wins,First
2018/09/23 2:46:26 PM MDT,Bloodcraft,Dfb,AA,,Forestcraft,Roach,1.0,0.0,Forestcraft,Roach,1.0,0.0,"I'm out, feels bad",,,,,,,,,,,,,,,0.0,0.0
2018/09/23 3:10:38 PM MDT,Swordcraft,Spartacus,Master,,Swordcraft,Aggro,1.0,0.0,Runecraft,Dshift,1.0,1.0,,Shadowcraft,Midrange,1.0,0.0,"I'm out, feels bad",,,,,,,,,,1.0,0.0
2018/09/23 3:34:54 PM MDT,Portalcraft,Puppet,B,,Runecraft,Daria,2.0,0.0,Bloodcraft,Dfb,1.0,0.0,"I'm out, feels bad",,,,,,,,,,,,,,,0.0,0.0
2018/09/23 4:54:40 PM MDT,Bloodcraft,Vengeance,Master,https://shadowverse-portal.com/deck/1.6.6YBRY.6YBRY.6YBRY.6BFgM.6BFgM.6BFgM.6F3pC.6F3pC.6F3pC.6YFqo.6YFqo.6YFqo.5_p-4.5_p-4.5_p-4.6BIrA.6BIrA.6Ity2.6Ity2.6Ity2.5_pFg.5_pFg.5_pFg.6FB7o.6FB7o.6FB7o.6YDOi.6YDOi.6YDOi.6F6Fm.6F6Fm.6F6Fm.63i_Q.63i_Q.6URho.6URho.6BM-o.6IyqY.6IyqY.6IyqY?lang=en,Runecraft,Daria,1.0,1.0,Shadowcraft,Midrange,2.0,1.0,,Dragoncraft,Ramp,2.0,1.0,,Shadowcraft,Midrange,2.0,1.0,,Bloodcraft,Dfb,2.0,1.0,5.0,0.0
2018/09/23 5:23:20 PM MDT,Havencraft,Tenko,Master,,Runecraft,Daria,,1.0,Shadowcraft,Midrange,,1.0,,Runecraft,Dshift,,0.0,,Shadowcraft,Midrange,,0.0,"I'm out, feels bad",,,,,2.0,0.0
2018/09/23 5:42:32 PM MDT,Bloodcraft,Vengeance,Master,,Shadowcraft,Midrange,1.0,0.0,Bloodcraft,Dfb,2.0,1.0,,Bloodcraft,Dfb,2.0,1.0,,Bloodcraft,Dfb,2.0,1.0,,Shadowcraft,Midrange,2.0,1.0,4.0,0.0
2018/09/23 6:32:24 PM MDT,Havencraft,Elana,Master,,Swordcraft,Leonidas,2.0,1.0,Bloodcraft,Dfb,2.0,0.0,,Runecraft,Ginger,1.0,1.0,,Bloodcraft,Aggro,1.0,1.0,,Shadowcraft,Arcus,2.0,0.0,3.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018/09/23 8:02:36 PM MDT,Dragoncraft,Roost,AA,,Shadowcraft,Midrange,2.0,1.0,Runecraft,Dshift,2.0,1.0,,Bloodcraft,Dfb,2.0,1.0,,Bloodcraft,Dfb,1.0,1.0,,Shadowcraft,Midrange,1.0,1.0,5.0,0.0
2018/09/23 8:13:30 PM MDT,Shadowcraft,Midrange,Grand Master,,Shadowcraft,Aggro,1.0,0.0,Dragoncraft,Aggro,2.0,1.0,,Bloodcraft,,1.0,0.0,"I'm out, feels bad",,Going First Sucks Always Lose,,,,,,,,1.0,0.0
