Timestamp,Class,Archetype,Rank,Link,Class1,Archetype1,First1,Result1,Class2,Archetype2,First2,Result2,Class3,Archetype3,First3,Result3,Class4,Archetype4,First4,Result4,Class5,Archetype5,First5,Result5,Wins,First
2018/09/19 4:56:14 PM MDT,Shadowcraft,Nephthys,AA,,Havencraft,Tenko,1.0,1.0,Havencraft,Lion,2.0,0.0,Dragoncraft,Roost,1.0,1.0,Bloodcraft,Dfb,1.0,1.0,Bloodcraft,Dfb,2.0,1.0,4.0,0.0
2018/09/19 5:14:03 PM MDT,Dragoncraft,Aggro,AA,,Portalcraft,Puppet,1.0,1.0,Portalcraft,Ptp,2.0,1.0,Runecraft,Burn,2.0,0.0,Havencraft,Tenko,1.0,1.0,Bloodcraft,Aggro,2.0,1.0,4.0,0.0
2018/09/19 5:38:59 PM MDT,Swordcraft,Aggro,AA,,Shadowcraft,Arcus,1.0,1.0,Havencraft,Tenko,1.0,1.0,Dragoncraft,Ramp,1.0,1.0,Bloodcraft,Dfb,1.0,0.0,Dragoncraft,Ramp,1.0,1.0,4.0,0.0
2018/09/19 5:47:23 PM MDT,Bloodcraft,Dfb,A,,Shadowcraft,Midrange,1.0,1.0,Swordcraft,Midrange,2.0,1.0,Dragoncraft,Roost,1.0,1.0,Shadowcraft,Midrange,1.0,0.0,Shadowcraft,Midrange,1.0,1.0,4.0,0.0
2018/09/19 6:30:31 PM MDT,Runecraft,Burn,AA,,Portalcraft,Artifact,1.0,1.0,Forestcraft,Aggro,1.0,1.0,Shadowcraft,Midrange,1.0,1.0,Havencraft,Tenko,2.0,1.0,Bloodcraft,Dfb,2.0,0.0,4.0,0.0
2018/09/19 6:33:12 PM MDT,Shadowcraft,Nephthys,Master,,Swordcraft,Aggro,1.0,1.0,Shadowcraft,Atomy,1.0,0.0,Forestcraft,Aggro,1.0,1.0,Shadowcraft,Midrange,1.0,1.0,Swordcraft,Leonidas,2.0,0.0,3.0,0.0
2018/09/19 6:36:17 PM MDT,Havencraft,Storm,B,http://sv.bagoum.com/db/DhF,Runecraft,Dirt,,1.0,Swordcraft,Aggro,,0.0,Forestcraft,Roach,,1.0,Forestcraft,Roach,,1.0,Havencraft,Storm,,1.0,4.0,0.0
2018/09/19 6:40:56 PM MDT,Shadowcraft,Nephthys,Master,,Bloodcraft,Aggro,2.0,1.0,Shadowcraft,Midrange,1.0,1.0,Runecraft,Dshift,1.0,0.0,Shadowcraft,Midrange,2.0,0.0,Havencraft,Elana,1.0,1.0,3.0,0.0
2018/09/19 11:37:00 PM MDT,Bloodcraft,Vengeance,Master,http://sv.bagoum.com/db/Dlm,Shadowcraft,Midrange,2.0,1.0,Portalcraft,Puppet,2.0,1.0,Forestcraft,Control,2.0,1.0,Runecraft,Dshift,2.0,1.0,Forestcraft,Roach,1.0,1.0,5.0,0.0
2018/09/19 11:42:58 PM MDT,Havencraft,Seraph,Master,,Dragoncraft,Roost,2.0,1.0,Havencraft,Elana,1.0,1.0,Shadowcraft,Aggro,2.0,1.0,Shadowcraft,Midrange,1.0,1.0,Swordcraft,Aggro,1.0,1.0,5.0,0.0
