Timestamp,Class,Archetype,Rank,Link,Class1,Archetype1,First1,Result1,Class2,Archetype2,First2,Result2,Class3,Archetype3,First3,Result3,Class4,Archetype4,First4,Result4,Class5,Archetype5,First5,Result5,Wins,First
2018/10/05 10:52:59 AM MDT,Bloodcraft,Vengeance,Master,,Bloodcraft,Dfb,1.0,1.0,Dragoncraft,Pdk,2.0,1.0,Runecraft,Mysteria,1.0,1.0,Shadowcraft,Highlander,1.0,1.0,Bloodcraft,Dfb,2.0,0.0,4.0,0.0
2018/10/05 11:01:00 AM MDT,Forestcraft,Aggro,Master,https://shadowverse-portal.com/deck/1.1.5zWm2.5zWm2.5zWm2.5zvAY.5zvAY.5zvAY.6a9vS.6a9vS.6a9vS.6a3JQ.6a3JQ.6a3JQ.5zvAi.5zvAi.6Oc9s.6Oc9s.6Oc9s.6Oh22.6Oh22.6Oh22.6OjUS.6OjUS.6OjUS.6SVBM.6SVBM.6SVBM.6KrBg.6KrBg.6KrBg.6KS2S.6KS2S.6KS2S.6WJKC.6WJKC.6Oh2C.6Oh2C.6Oh2C.6a7T2.6a7T2.6a7T2?lang=en,Shadowcraft,Midrange,1.0,1.0,Swordcraft,Midrange,1.0,0.0,Runecraft,Mysteria,2.0,1.0,Bloodcraft,Dfb,2.0,1.0,Bloodcraft,Dfb,1.0,1.0,4.0,0.0
2018/10/05 11:01:24 AM MDT,Havencraft,Tenko,Master,,Runecraft,Mysteria,2.0,1.0,Bloodcraft,Dfb,2.0,1.0,Runecraft,Mysteria,1.0,1.0,Bloodcraft,Dfb,1.0,1.0,Forestcraft,Aggro,2.0,0.0,4.0,0.0
2018/10/05 11:08:22 AM MDT,Bloodcraft,Dfb,AA,,Dragoncraft,Pdk,2.0,0.0,Bloodcraft,Dfb,1.0,0.0,Runecraft,Spellboost,1.0,1.0,Dragoncraft,Ramp,2.0,0.0,Dragoncraft,Ramp,2.0,0.0,1.0,0.0
2018/10/05 12:03:51 PM MDT,Havencraft,Tenko,Master,https://shadowverse-portal.com/deck/1.7.6N9tI.6N9tI.6N9tI.6Qzmg.6Qzmg.6Ung2.6Ung2.6Ybp2.6Ybp2.6cNVo.6cNVo.6cNVo.60COa.60COa.60COa.6UjGo.6UjGo.6UjGo.6Q_zI.6Q_zI.6Uo9I.6Uo9I.6Uo9I.6cSOS.6cSOS.6Uq6S.6Uq6S.6Uq6S.6Unvg.6Unvg.6Unvg.6YeFI.6YeFI.6YeFI.6Q_zS.6Q_zS.6Q_zS.6Uq6I.6YcXw.6YcXw?lang=en,Runecraft,Gchimera,1.0,1.0,Dragoncraft,Ramp,2.0,1.0,Swordcraft,Midrange,1.0,1.0,Dragoncraft,Pdk,1.0,0.0,Swordcraft,Aggro,2.0,1.0,4.0,0.0
2018/10/05 12:04:55 PM MDT,Swordcraft,Midrange,Master,https://shadowverse-portal.com/deck/1.2.6SuKQ.6SuKQ.6SuKQ.6LCtI.6LCtI.6LCtI.6SojM.6SojM.6SojM.6Sw1o.6Sw1o.6Sw1o.6aQ_M.6aQ_M.6aQ_M.6aRjw.6aRjw.6aRjw.6P3SY.6P3SY.6Sr9c.6Sr9c.6aYJo.6aYJo.6aYJo.6P10I.6P10I.6aVti.6aVti.6aVti.6WiTQ.6WiTQ.6WiTQ.6WkAo.6P5uy.6P5uy.6P5uy.6Sw1y.6WkAy.6WkAy?lang=en,Dragoncraft,Disdain,2.0,1.0,Portalcraft,Lishenna,2.0,1.0,Swordcraft,Aggro,2.0,1.0,Dragoncraft,Disdain,1.0,1.0,Runecraft,Mysteria,1.0,1.0,5.0,0.0
2018/10/05 12:17:32 PM MDT,Havencraft,Seraph,Master,http://sv.bagoum.com/db/EFx,Runecraft,Gchimera,2.0,1.0,Dragoncraft,Aggro,2.0,0.0,Portalcraft,Artifact,1.0,1.0,Shadowcraft,Arcus,2.0,1.0,Swordcraft,Midrange,1.0,1.0,4.0,0.0
2018/10/05 12:18:49 PM MDT,Bloodcraft,Dfb,Master,,Havencraft,Highlander,2.0,1.0,Swordcraft,Midrange,2.0,1.0,Swordcraft,Midrange,1.0,0.0,Havencraft,Seraph,2.0,1.0,Dragoncraft,Disdain,2.0,1.0,4.0,0.0
2018/10/05 12:23:47 PM MDT,Runecraft,Mysteria,Master,,Forestcraft,Control,1.0,1.0,Dragoncraft,Disdain,1.0,1.0,Swordcraft,Midrange,2.0,1.0,Dragoncraft,Disdain,2.0,0.0,Portalcraft,Lishenna,2.0,1.0,4.0,0.0
2018/10/05 12:27:10 PM MDT,Bloodcraft,Dfb,A,,Runecraft,Mysteria,1.0,0.0,Portalcraft,Puppet,1.0,1.0,Runecraft,Mysteria,2.0,1.0,Shadowcraft,Midrange,1.0,1.0,Bloodcraft,Dfb,2.0,1.0,4.0,0.0
2018/10/05 12:57:50 PM MDT,Bloodcraft,Dfb,A,,Bloodcraft,Dfb,2.0,0.0,Portalcraft,Lishenna,1.0,1.0,Runecraft,Gchimera,1.0,0.0,Bloodcraft,Dfb,2.0,0.0,Dragoncraft,Ramp,2.0,1.0,2.0,0.0
2018/10/05 1:52:02 PM MDT,Bloodcraft,Dfb,C,,Bloodcraft,,,0.0,Swordcraft,,,0.0,Dragoncraft,,,0.0,Dragoncraft,,,0.0,Portalcraft,,,0.0,0.0,0.0
2018/10/05 1:54:21 PM MDT,Dragoncraft,Ramp,A,,Bloodcraft,Aggro,,1.0,Swordcraft,Midrange,,1.0,Bloodcraft,Dfb,,1.0,Shadowcraft,Arcus,,1.0,Swordcraft,Midrange,,0.0,4.0,0.0
2018/10/05 2:06:14 PM MDT,Bloodcraft,Dfb,Master,https://shadowverse-portal.com/deck/3.6.6UP-Q.6UP-Q.6UP-Q.6YBRY.6YBRY.6YBRY.6b_5S.6b_5S.6b_5S.6Mi5M.6Mi5M.6Mi5M.6YFqo.6YFqo.6YFqo.6byfM.6byfM.6byfM.5_pzw.5_pzw.5_pzw.5_p-4.5_p-4.5_p-4.6MlGA.6MlGA.6MlGA.6b_qA.6b_qA.6c3zo.6c3zo.6YDOi.6c1Xi.6c1Xi.6YDOY.6YDOY.6YDOY.6URhy.6URhy.6URhy?lang=en,Bloodcraft,Dfb,2.0,1.0,Bloodcraft,Dfb,1.0,1.0,Dragoncraft,Ramp,2.0,1.0,Bloodcraft,Dfb,1.0,1.0,Dragoncraft,Disdain,2.0,1.0,5.0,0.0
2018/10/05 3:21:05 PM MDT,Runecraft,Mysteria,B,,Bloodcraft,Dfb,1.0,1.0,Bloodcraft,Dfb,2.0,1.0,Dragoncraft,Ramp,1.0,1.0,Bloodcraft,Dfb,2.0,1.0,Dragoncraft,Ramp,2.0,0.0,4.0,0.0
2018/10/05 4:22:46 PM MDT,Runecraft,Gchimera,B,,Bloodcraft,Dfb,2.0,1.0,Bloodcraft,Dfb,1.0,1.0,Bloodcraft,Dfb,1.0,0.0,Portalcraft,Lishenna,1.0,1.0,Havencraft,Seraph,1.0,1.0,4.0,0.0
2018/10/05 4:51:44 PM MDT,Dragoncraft,Aggro,A,http://sv.bagoum.com/db/EGD,Bloodcraft,Dfb,1.0,1.0,Dragoncraft,Ramp,1.0,0.0,Dragoncraft,Ramp,2.0,0.0,Runecraft,Mysteria,2.0,0.0,Runecraft,Mysteria,1.0,1.0,2.0,0.0
