,Timestamp,Class,Archetype,Class_o,Archetype_o,Result
0,6/8/2018 14:29:52,Bloodcraft,Vengeance,Forestcraft,Neutral,1
1,6/8/2018 15:09:05,Bloodcraft,Vengeance,Havencraft,Tenko,1
2,6/8/2018 18:36:42,Bloodcraft,Jormungand,Forestcraft,Aggro,0
3,6/8/2018 20:58:43,Bloodcraft,Vengeance,Forestcraft,Aggro,1
4,6/8/2018 22:49:24,Bloodcraft,,Swordcraft,Midrange,1
5,6/9/2018 4:57:14,Bloodcraft,Vengeance,Swordcraft,Aggro,1
6,6/9/2018 7:27:15,Bloodcraft,Vengeance,Bloodcraft,Aggro,0
7,6/11/2018 15:56:21,Bloodcraft,Neutral,Forestcraft,Midrange,0
8,6/11/2018 21:33:16,Bloodcraft,Neutral,Bloodcraft,Neutral,1
9,6/11/2018 22:28:37,Bloodcraft,Control,Dragoncraft,PDK,0
10,6/11/2018 22:46:42,Bloodcraft,Jormungand,Bloodcraft,Jormungand,1
11,6/12/2018 2:00:32,Bloodcraft,Vengeance,Forestcraft,Aggro,1
12,6/8/2018 13:50:19,Dragoncraft,PDK,Dragoncraft,PDK,1
13,6/8/2018 14:50:44,Dragoncraft,PDK,Forestcraft,Neutral,0
14,6/8/2018 14:55:42,Dragoncraft,PDK,Swordcraft,Midrange,1
15,6/8/2018 17:51:40,Dragoncraft,Lindworm,Shadowcraft,Reanimate,0
16,6/8/2018 19:27:10,Dragoncraft,Ramp,Havencraft,Tenko,1
17,6/8/2018 19:43:47,Dragoncraft,Lindworm,Shadowcraft,Arcus,0
18,6/8/2018 21:15:02,Dragoncraft,PDK,Runecraft,Dirt,1
19,6/9/2018 0:13:55,Dragoncraft,Lindworm,Dragoncraft,PDK,1
20,6/9/2018 1:09:02,Dragoncraft,Ramp,Havencraft,Tenko,1
21,6/9/2018 1:45:36,Dragoncraft,Ramp,Havencraft,,1
22,6/9/2018 3:01:59,Dragoncraft,Jabberwock,Swordcraft,,1
23,6/9/2018 3:13:22,Dragoncraft,Lindworm,Bloodcraft,Vengeance,1
24,6/9/2018 8:56:26,Dragoncraft,PDK,Swordcraft,Midrange,1
25,6/9/2018 15:16:51,Dragoncraft,Ramp,Havencraft,Tenko,0
26,6/10/2018 8:55:22,Dragoncraft,PDK,Havencraft,Summit,1
27,6/10/2018 13:26:00,Dragoncraft,Jabberwock,Havencraft,Summit,0
28,6/10/2018 18:06:27,Dragoncraft,PDK,Swordcraft,Midrange,0
29,6/11/2018 13:03:07,Dragoncraft,Jabberwock,Bloodcraft,Aggro,1
30,6/11/2018 13:30:05,Dragoncraft,PDK,Forestcraft,Midrange,1
31,6/11/2018 14:04:48,Dragoncraft,PDK,Swordcraft,Support Cannon,0
32,6/11/2018 14:15:09,Dragoncraft,Jabberwock,Swordcraft,Midrange,0
33,6/11/2018 14:45:35,Dragoncraft,Ramp,Dragoncraft,PDK,1
34,6/11/2018 15:50:42,Dragoncraft,PDK,Swordcraft,Midrange,0
35,6/11/2018 20:14:53,Dragoncraft,PDK,Swordcraft,Midrange,1
36,6/11/2018 20:33:23,Dragoncraft,Lindworm,Dragoncraft,Ramp,1
37,6/11/2018 22:04:03,Dragoncraft,PDK,Portalcraft,Artifact,1
38,6/11/2018 23:09:32,Dragoncraft,PDK,Dragoncraft,PDK,0
39,6/12/2018 1:13:07,Dragoncraft,PDK,Havencraft,Summit,1
40,6/12/2018 3:08:46,Dragoncraft,Jabberwock,Forestcraft,Aggro,1
41,6/8/2018 13:43:21,Forestcraft,Aggro,Dragoncraft,PDK,1
42,6/8/2018 14:34:31,Forestcraft,Aggro,Dragoncraft,PDK,1
43,6/8/2018 14:57:26,Forestcraft,Aggro,Bloodcraft,Vengeance,0
44,6/8/2018 16:22:55,Forestcraft,Aggro,Dragoncraft,PDK,1
45,6/8/2018 16:52:39,Forestcraft,Aggro,Swordcraft,Midrange,0
46,6/8/2018 19:14:51,Forestcraft,Aggro,Forestcraft,Midrange,0
47,6/8/2018 19:43:29,Forestcraft,Neutral,Dragoncraft,Ramp,1
48,6/9/2018 0:06:11,Forestcraft,Aggro,Havencraft,Tenko,1
49,6/9/2018 1:44:02,Forestcraft,Aggro,Swordcraft,Midrange,0
50,6/9/2018 6:22:57,Forestcraft,Aggro,Havencraft,Tenko,1
51,6/9/2018 8:23:25,Forestcraft,Aggro,Bloodcraft,Snake,1
52,6/9/2018 10:00:15,Forestcraft,Neutral,Dragoncraft,Lindworm,1
53,6/9/2018 11:01:54,Forestcraft,Control,Swordcraft,Midrange,1
54,6/9/2018 11:10:04,Forestcraft,Aggro,Havencraft,Tenko,1
55,6/9/2018 11:57:09,Forestcraft,Aggro,Swordcraft,Midrange,0
56,6/9/2018 15:53:16,Forestcraft,Midrange,Dragoncraft,PDK,0
57,6/9/2018 16:20:25,Forestcraft,Midrange,Swordcraft,Midrange,1
58,6/9/2018 17:13:33,Forestcraft,Control,Havencraft,Tenko,1
59,6/9/2018 18:33:48,Forestcraft,Neutral,Dragoncraft,PDK,1
